experiment,participant,trialNumber,searchTarget,task,setSize,correctResponse,rt,timeoutOrKeyNotPressed
1,ex1p001,1,non-face object,target absent,64,TRUE,8738,FALSE
1,ex1p001,2,non-face object,target absent,32,TRUE,11177,FALSE
1,ex1p001,3,non-face object,target present,32,TRUE,4169,FALSE
1,ex1p001,4,face,target present,16,TRUE,2981,FALSE
1,ex1p001,5,non-face object,target present,32,TRUE,4693,FALSE
1,ex1p001,6,face,target present,32,TRUE,1921,FALSE
1,ex1p001,7,non-face object,target absent,64,FALSE,7796,FALSE
1,ex1p001,8,face,target present,16,TRUE,990,FALSE
1,ex1p001,9,non-face object,target present,64,TRUE,2284,FALSE
1,ex1p001,10,face,target absent,16,TRUE,5782,FALSE
1,ex1p001,11,non-face object,target present,32,FALSE,1235,FALSE
1,ex1p001,12,face,target absent,16,TRUE,4156,FALSE
1,ex1p001,13,face,target present,64,TRUE,4853,FALSE
1,ex1p001,14,non-face object,target present,32,FALSE,9171,FALSE
1,ex1p001,15,face,target absent,32,TRUE,3881,FALSE
1,ex1p001,16,face,target absent,32,TRUE,6076,FALSE
1,ex1p001,17,non-face object,target present,16,TRUE,4085,FALSE
1,ex1p001,18,face,target present,64,TRUE,1779,FALSE
1,ex1p001,19,face,target present,32,TRUE,2298,FALSE
1,ex1p001,20,face,target present,16,TRUE,1570,FALSE
1,ex1p001,21,non-face object,target present,64,TRUE,1141,FALSE
1,ex1p001,22,non-face object,target present,64,FALSE,9615,FALSE
1,ex1p001,23,face,target absent,32,TRUE,6432,FALSE
1,ex1p001,24,face,target absent,16,TRUE,9041,FALSE
1,ex1p001,25,face,target absent,64,TRUE,9156,FALSE
1,ex1p001,26,face,target present,64,TRUE,7793,FALSE
1,ex1p001,27,face,target present,16,TRUE,2308,FALSE
1,ex1p001,28,non-face object,target present,16,TRUE,870,FALSE
1,ex1p001,29,non-face object,target absent,64,TRUE,12925,FALSE
1,ex1p001,30,non-face object,target present,16,TRUE,3303,FALSE
1,ex1p001,31,non-face object,target absent,32,TRUE,6191,FALSE
1,ex1p001,32,face,target absent,64,TRUE,13415,FALSE
1,ex1p001,33,non-face object,target absent,32,TRUE,6201,FALSE
1,ex1p001,34,non-face object,target absent,64,TRUE,6126,FALSE
1,ex1p001,35,non-face object,target present,32,FALSE,6706,FALSE
